image,slice,bjd_tdb,hours_since_first_image,raw_relative_brightness_10_comparisons,raw_relative_brightness_error,working_relative_brightness_7_comparisons,adopted_relative_brightness,condition_model_baseline,review_point,review_reason,condition_model_fit_eligible,used_in_primary_curve,primary_exclusion_reason,airmass,sky_counts_per_pixel,target_width_pixels,target_x_fits,target_y_fits,comparison_counts,meridian_side
TOI_3505.01_50.000s_R-0028_aligned.fits,28,2459782.6187564600,0.4925195798,1.0032390560,0.0016714490,1.0014096666,1.0031903565,1.0000485446,False,,True,True,,1.2266332223,508.0973660240,21.0269025930,1848.6628864540,1744.3056236392,8090739.3670126526,0.0000000000
TOI_3505.01_50.000s_R-0029_aligned.fits,29,2459782.6195099610,0.5106036030,1.0061996082,0.0016339402,1.0044535989,1.0061507650,1.0000485446,False,,True,True,,1.2237303062,499.4100743469,20.5919012757,1850.7933257405,1744.0033150105,8293344.5266564144,0.0000000000
TOI_3505.01_50.000s_R-0030_aligned.fits,30,2459782.6202637255,0.5286939517,1.0019700910,0.0016273280,0.9987580874,1.0019214531,1.0000485446,False,,True,True,,1.2208607734,498.7244735128,20.0552053321,1847.6123113873,1743.1579043450,8317752.5720793279,0.0000000000
TOI_3505.01_50.000s_R-0031_aligned.fits,31,2459782.6210173583,0.5467811376,1.0049029241,0.0016316697,1.0038929537,1.0048541439,1.0000485446,False,,True,True,,1.2180258141,497.0884655613,20.2706312611,1848.1711428108,1744.2946347868,8290182.0448995633,0.0000000000
TOI_3505.01_50.000s_R-0032_aligned.fits,32,2459782.6217716765,0.5648847744,1.0012152345,0.0016441008,0.9985996221,1.0011666333,1.0000485446,False,,True,True,,1.2152220774,491.5685883402,21.0249996783,1848.9046643136,1742.9034118322,8166086.4358818112,0.0000000000
TOI_3505.01_50.000s_R-0033_aligned.fits,33,2459782.6225253418,0.5829727426,1.0028028803,0.0016025726,1.0004562910,1.0027542020,1.0000485446,False,,True,True,,1.2124542245,485.6410143291,20.3254354158,1846.1640266874,1742.5388149873,8413500.1669700854,0.0000000000
TOI_3505.01_50.000s_R-0034_aligned.fits,34,2459782.6232786886,0.6010530666,0.9993232498,0.0016318747,0.9975626045,0.9992747403,1.0000485446,False,,True,True,,1.2097206597,491.6844932966,19.7565064563,1852.2051332789,1743.0777984451,8238879.0911397245,0.0000000000
TOI_3505.01_50.000s_R-0035_aligned.fits,35,2459782.6240319675,0.6191317588,1.0061893715,0.0016320420,1.0033336682,1.0061405288,1.0000485446,False,,True,True,,1.2070201443,487.4811372070,20.7982681852,1849.2062103087,1743.1139224428,8235947.9783296240,0.0000000000
TOI_3505.01_50.000s_R-0036_aligned.fits,36,2459782.6247849604,0.6372035891,1.0044955202,0.0016100044,1.0027513829,1.0044467597,1.0000485446,False,,True,True,,1.2043531439,482.8825502915,20.1009554180,1846.3091887479,1744.9771553934,8351642.5800155159,0.0000000000
TOI_3505.01_50.000s_R-0037_aligned.fits,37,2459782.6255383315,0.6552844942,1.0012889860,0.0015942514,0.9992386311,1.0012403812,1.0000485446,False,,True,True,,1.2017170181,478.4435952260,20.5827437071,1849.8252414407,1744.0680372668,8419705.7142589297,0.0000000000
TOI_3505.01_50.000s_R-0038_aligned.fits,38,2459782.6262915782,0.6733624153,1.0042284255,0.0015870966,1.0025238412,1.0041796780,1.0000485446,False,,True,True,,1.1991132570,473.1518831233,20.6434091662,1845.7850422638,1742.0390993277,8449858.1602447759,0.0000000000
TOI_3505.01_50.000s_R-0039_aligned.fits,39,2459782.6270446549,0.6914362572,0.9972887885,0.0015699700,0.9955858569,0.9972403778,1.0000485446,False,,True,True,,1.1965417199,468.4244219080,20.2485279349,1849.7910053175,1744.5397755776,8516648.0369431712,0.0000000000
TOI_3505.01_50.000s_R-0040_aligned.fits,40,2459782.6277982686,0.7095229849,0.9996645685,0.0015759926,0.9993988799,0.9996160425,1.0000485446,False,,True,True,,1.1939997360,468.7092646516,20.7644927204,1837.2357640675,1743.5185888088,8484182.5183703993,0.0000000000
TOI_3505.01_50.000s_R-0041_aligned.fits,41,2459782.6285510119,0.7275888249,1.0060810343,0.0016170847,1.0035213354,1.0060321969,1.0000485446,False,,True,True,,1.1914917624,474.4994511805,20.4910998386,1849.4836547778,1743.5214371216,8258012.3366704518,0.0000000000
TOI_3505.01_50.000s_R-0042_aligned.fits,42,2459782.6293042083,0.7456655391,1.0005252753,0.0016246477,1.0003837417,1.0004767076,1.0000485446,False,,True,True,,1.1890130935,478.4688508055,20.8396418519,1847.7307816517,1744.1030941447,8212896.1523907622,0.0000000000
TOI_3505.01_50.000s_R-0043_aligned.fits,43,2459782.6300575892,0.7637466788,1.0014505616,0.0016364964,0.9992824399,1.0014019489,1.0000485446,False,,True,True,,1.1865643924,475.7845766665,20.5929647465,1849.5787998829,1742.2829552256,8121806.7648431128,0.0000000000
