Image,Frame,BJD_TDB,Relative_Brightness,Flux_Error,Used_in_Plot,Notes
TOI_3505.01_50.000s_R-0212_aligned.fits,212,2459782.7573540136,0.9984927286,0.0015020874,True,
TOI_3505.01_50.000s_R-0213_aligned.fits,213,2459782.7581184660,1.0038896156,0.0015153825,True,
TOI_3505.01_50.000s_R-0214_aligned.fits,214,2459782.7588714752,1.0004543521,0.0015069840,True,
TOI_3505.01_50.000s_R-0215_aligned.fits,215,2459782.7596239583,0.9987311446,0.0015512198,True,
TOI_3505.01_50.000s_R-0216_aligned.fits,216,2459782.7603768315,1.0017545732,0.0015663550,True,
TOI_3505.01_50.000s_R-0217_aligned.fits,217,2459782.7611298510,0.9997214536,0.0016333695,True,
TOI_3505.01_50.000s_R-0218_aligned.fits,218,2459782.7618830381,1.0079219208,0.0017132111,True,
TOI_3505.01_50.000s_R-0219_aligned.fits,219,2459782.7626361796,0.9943354202,0.0016397572,True,
TOI_3505.01_50.000s_R-0220_aligned.fits,220,2459782.7633886291,1.0025472058,0.0015518871,True,
TOI_3505.01_50.000s_R-0221_aligned.fits,221,2459782.7641416239,0.9992166493,0.0015293173,True,
TOI_3505.01_50.000s_R-0222_aligned.fits,222,2459782.7648947048,1.0005923935,0.0015337721,True,
TOI_3505.01_50.000s_R-0223_aligned.fits,223,2459782.7656475282,0.9983780257,0.0015419214,True,
TOI_3505.01_50.000s_R-0224_aligned.fits,224,2459782.7664007670,0.9987682303,0.0015409480,True,
TOI_3505.01_50.000s_R-0225_aligned.fits,225,2459782.7671540114,0.9982814796,0.0015438041,True,
TOI_3505.01_50.000s_R-0226_aligned.fits,226,2459782.7679064879,1.0005039606,0.0015455188,True,
TOI_3505.01_50.000s_R-0227_aligned.fits,227,2459782.7686598850,0.9996035908,0.0015535933,True,
TOI_3505.01_50.000s_R-0228_aligned.fits,228,2459782.7694134377,0.9998260202,0.0015587131,True,
TOI_3505.01_50.000s_R-0229_aligned.fits,229,2459782.7701664320,1.0012581758,0.0015732880,True,
TOI_3505.01_50.000s_R-0230_aligned.fits,230,2459782.7709195474,1.0052409867,0.0015764464,True,
TOI_3505.01_50.000s_R-0231_aligned.fits,231,2459782.7716841977,1.0004984585,0.0016126593,True,
TOI_3505.01_50.000s_R-0232_aligned.fits,232,2459782.7724372265,1.0022406005,0.0016170220,True,
TOI_3505.01_50.000s_R-0233_aligned.fits,233,2459782.7731901570,0.9987416267,0.0016217740,True,
TOI_3505.01_50.000s_R-0234_aligned.fits,234,2459782.7739435956,1.0046623706,0.0020465479,True,
TOI_3505.01_50.000s_R-0235_aligned.fits,235,2459782.7746966756,0.9949969050,0.0017176298,True,
TOI_3505.01_50.000s_R-0236_aligned.fits,236,2459782.7754508555,0.9958681949,0.0016722083,True,
TOI_3505.01_50.000s_R-0237_aligned.fits,237,2459782.7762046782,0.9988208199,0.0016759118,True,
TOI_3505.01_50.000s_R-0238_aligned.fits,238,2459782.7769582062,1.0014627182,0.0017818248,True,
TOI_3505.01_50.000s_R-0239_aligned.fits,239,2459782.7777132667,0.9952826549,0.0018862133,True,
TOI_3505.01_50.000s_R-0240_aligned.fits,240,2459782.7784713698,0.9949966459,0.0018001867,True,
TOI_3505.01_50.000s_R-0241_aligned.fits,241,2459782.7792286621,0.9944187696,0.0020656518,True,
TOI_3505.01_50.000s_R-0242_aligned.fits,242,2459782.7799883364,0.9974315162,0.0025182309,True,
TOI_3505.01_50.000s_R-0243_aligned.fits,243,2459782.7807455729,0.9931269244,0.0028808731,True,
TOI_3505.01_50.000s_R-0244_aligned.fits,244,2459782.7814999372,0.9841697489,0.0030091576,True,
TOI_3505.01_50.000s_R-0245_aligned.fits,245,2459782.7822548579,1.0096674235,0.0030840805,False,large star width
TOI_3505.01_50.000s_R-0246_aligned.fits,246,2459782.7830085154,0.9990223159,0.0024693097,True,
