duration_label,duration_hours,midpoint_hours_since_first_image,event_coverage_fraction,depth_ppt,depth_error_ppt,depth_snr,upper_limit_ppt,in_event_points,baseline_points_before,baseline_points_after,reduced_chi_square,residual_scatter_ppt
TOI catalog,2.004,3.103438299366666,1.0000000000000002,-1.683930520923307,0.42522123703357106,-3.9601279857768756,-0.4082668098225939,110,113,40,2.8490126615949776,2.5489111568349063
TOI catalog,2.004,3.1367716326999995,0.9999999999999998,-1.9044739683632355,0.4303304803866182,-4.425607887808028,-0.6134825272033808,110,115,38,2.80923666552429,2.4651220902497117
TOI catalog,2.004,3.1701049660333327,0.9999999999999998,-2.156079769836935,0.4352474218468747,-4.953687630562164,-0.850337504296311,109,117,37,2.7603358363980366,2.4312853683334272
TOI catalog,2.004,3.203438299366666,0.9999999999999998,-2.277052290755392,0.4443117147336466,-5.124898163264558,-0.9441171465544522,109,119,35,2.7436969451881152,2.4867337020858207
TOI catalog,2.004,3.236771632699999,0.9999999999999998,-2.41366869614304,0.4526966497719711,-5.331757364139617,-1.0555787468271267,109,121,33,2.7231206627611493,2.450597808581737
TOI catalog,2.004,3.270104966033333,1.0000000000000002,-2.5067948003242866,0.46560330189262583,-5.383971269392728,-1.109984894646409,110,122,31,2.7178484097643825,2.328539963723462
TOI catalog,2.004,3.303438299366666,1.0000000000000002,-2.587679287601527,0.4777575384215724,-5.416302369923389,-1.1544066723368098,110,124,29,2.714568382101635,2.492575089828151
TOI catalog,2.004,3.336771632699999,1.0000000000000002,-2.4969331657462592,0.4875892319959443,-5.120976842587509,-1.0341654697584264,111,125,27,2.7440820783308473,2.4882322023341827
TOI catalog,2.004,3.3701049660333324,1.0000000000000002,-2.4869830867195457,0.49707574420548917,-5.003227608087505,-0.9957558541030782,111,126,26,2.7555589107424017,2.5219253987517902
TOI catalog,2.004,3.403438299366666,0.9999999999999998,-2.3707214552313287,0.504940223803469,-4.695053678579689,-0.8559007838209216,111,128,24,2.7847590035831757,2.524004476747171
TOI catalog,2.004,3.4367716326999993,0.9999999999999998,-2.4987901384850177,0.5072631802762143,-4.926023089482623,-0.9770005976563749,110,130,23,2.76298986230042,2.492900398204026
TOI catalog,2.004,3.4701049660333325,0.9999999999999998,-2.481948005026676,0.5199247425970771,-4.773667805515646,-0.9221737772354448,111,131,21,2.777428754619138,2.4814594048907557
SPOC multi-sector,2.7111916374936995,1.770104966033333,1.0,-0.08926051698161219,0.4769295125753583,-0.18715662299784475,1.3415280207444629,149,20,94,3.0204517604953933,2.462124552128558
SPOC multi-sector,2.7111916374936995,1.8034382993666662,1.0,-0.27443618788757207,0.46186904806421136,-0.5941861422361833,1.111170956305062,148,22,93,3.016762182253969,2.3959484959424366
SPOC multi-sector,2.7111916374936995,1.8367716326999997,1.0000000000000002,-0.15017021587811796,0.44948697396082676,-0.33409247559464417,1.1982907060043624,149,23,91,3.019562384818332,2.402198016147503
SPOC multi-sector,2.7111916374936995,1.8701049660333329,1.0000000000000002,-0.005438742344776626,0.44021615747942217,-0.012354708595699057,1.31520973009349,149,25,89,3.02085690695939,2.450382648489533
SPOC multi-sector,2.7111916374936995,1.9034382993666663,1.0,0.13605239318462573,0.4307893272745777,0.3158211788703583,1.4284203750083588,149,27,87,3.019700241910855,2.4577855361753898
SPOC multi-sector,2.7111916374936995,1.9367716326999995,1.0,0.2324550621098523,0.42164751484970453,0.5513018668987305,1.4973976066589658,149,29,85,3.0173314924563,2.4516087744432835
SPOC multi-sector,2.7111916374936995,1.970104966033333,0.9999999999999999,0.3117592254772116,0.4125472747844829,0.7556933339096141,1.54940104983066,149,31,83,3.014238110279437,2.4541649461780413
SPOC multi-sector,2.7111916374936995,2.003438299366666,0.9999999999999999,0.3323143903756969,0.4044167404504336,0.8217127461280902,1.5455646117269977,148,33,82,3.013033925911201,2.401343224318983
SPOC multi-sector,2.7111916374936995,2.0367716326999994,0.9999999999999999,0.4220889565300652,0.39735580579775387,1.062244342152383,1.6141563739233267,148,35,80,3.0078052332513736,2.4577745930352783
SPOC multi-sector,2.7111916374936995,2.070104966033333,1.0000000000000002,0.22876938484004813,0.3936509971520648,0.5811477336399989,1.4097223762962425,149,36,78,3.0169397605139947,2.4004785510778426
SPOC multi-sector,2.7111916374936995,2.1034382993666663,1.0000000000000002,0.27369015615782694,0.3898432188130912,0.7020518581574882,1.4432198125971005,149,38,76,3.01514293412969,2.3964828877278657
SPOC multi-sector,2.7111916374936995,2.1367716326999995,1.0000000000000002,0.2914612267161141,0.3861566802020463,0.7547745297675924,1.4499312673222529,149,40,74,3.014254164458521,2.4582914027486145
SPOC multi-sector,2.7111916374936995,2.1701049660333327,1.0000000000000002,0.3052755267876412,0.38232695306558345,0.7984671871545372,1.4522563859843916,149,42,72,3.0134693077208934,2.442148857571928
SPOC multi-sector,2.7111916374936995,2.2034382993666664,0.9999999999999999,0.2573941578798694,0.378880283739229,0.6793548488182232,1.3940350090975562,149,44,70,3.0155058905857426,2.417582877687421
SPOC multi-sector,2.7111916374936995,2.2367716326999996,0.9999999999999999,0.28997671141918935,0.37633169435708247,0.7705349184436345,1.4189717944904368,148,46,69,3.013976102996851,2.4212688168553855
SPOC multi-sector,2.7111916374936995,2.270104966033333,0.9999999999999999,0.34321737523855156,0.37485162660626775,0.9156086058526196,1.4677722550573549,149,47,67,3.0111495862222997,2.4455535296050805
SPOC multi-sector,2.7111916374936995,2.303438299366666,0.9999999999999999,0.07508535821934507,0.3752365848783531,0.20010137935693767,1.2007951128544045,149,49,65,3.0203935332879768,2.43969616383932
SPOC multi-sector,2.7111916374936995,2.3367716326999997,1.0000000000000002,-0.12282302903392356,0.37470779323048525,-0.3277834922381086,1.0013003506575322,149,51,63,3.0196108608680823,2.4093399060840976
SPOC multi-sector,2.7111916374936995,2.370104966033333,1.0000000000000002,-0.21703853759224342,0.3740653383137426,-0.5802155809748004,0.9051574773489843,149,53,61,3.0169523059710177,2.4070190469832866
SPOC multi-sector,2.7111916374936995,2.403438299366666,1.0000000000000002,-0.28413306290191903,0.3730273709937186,-0.7616949451859487,0.8349490500792367,149,55,59,3.014132768472376,2.4228160195221022
SPOC multi-sector,2.7111916374936995,2.4367716326999993,1.0000000000000002,-0.3863962095725348,0.3725563717004735,-1.0371483053930646,0.7312729055288858,148,57,58,3.008412224056814,2.4808090185299823
SPOC multi-sector,2.7111916374936995,2.470104966033333,0.9999999999999999,-0.48144614361703836,0.3733153919296711,-1.2896498618190861,0.6385000321719749,148,59,56,3.0016573466068865,2.40790714748635
SPOC multi-sector,2.7111916374936995,2.503438299366666,0.9999999999999999,-0.6790544066205116,0.3748504726046963,-1.8115340815819587,0.4454970111935773,149,60,54,2.983205399311316,2.38503366933076
SPOC multi-sector,2.7111916374936995,2.5367716326999994,0.9999999999999999,-0.7477580560456291,0.3768665774997398,-1.9841453200931445,0.38284167645359035,149,62,52,2.975800114822944,2.402882311234735
SPOC multi-sector,2.7111916374936995,2.5701049660333326,0.9999999999999999,-0.872141304706347,0.37781045551230746,-2.308409658816169,0.26129006183057546,149,64,50,2.9601889793548253,2.4438859907852097
SPOC multi-sector,2.7111916374936995,2.6034382993666663,1.0000000000000002,-0.851581094676984,0.38012493960514826,-2.2402663070767126,0.28879372413846083,149,66,48,2.9636511722183414,2.443551277260934
SPOC multi-sector,2.7111916374936995,2.6367716326999995,1.0000000000000002,-0.8736687601886033,0.382445758000536,-2.284425286232038,0.2736685138130046,148,68,47,2.9614184683938465,2.499741292685683
SPOC multi-sector,2.7111916374936995,2.6701049660333327,1.0000000000000002,-0.9427556738500249,0.3864779388881469,-2.439351846478549,0.21667814281441578,148,70,45,2.953269280159037,2.3711462625272826
SPOC multi-sector,2.7111916374936995,2.703438299366666,1.0000000000000002,-0.9455530724083037,0.3925515651511947,-2.408735963246295,0.23210162304528037,149,71,43,2.9549184373734594,2.4048980057505314
SPOC multi-sector,2.7111916374936995,2.7367716326999996,0.9999999999999999,-1.0843478420108805,0.39818921018551695,-2.7231974505428744,0.11021978854567038,149,73,41,2.9370861561646078,2.4451943987770632
SPOC multi-sector,2.7111916374936995,2.770104966033333,0.9999999999999999,-1.139726348991587,0.40463909702516965,-2.816649101311861,0.07419094208392196,149,75,39,2.931411045143403,2.424695592335145
