slice,bjd_tdb,flux_sum_ensemble,equal_star_ensemble,inverse_error_ensemble
75,2459782.6541513731,1.0004143659,1.0003252495,1.0005562464
76,2459782.6549045029,0.9998326150,0.9995955833,1.0000346439
77,2459782.6556575838,0.9980533513,0.9977603046,0.9982943222
78,2459782.6564107756,1.0019812337,1.0018296207,1.0021422129
79,2459782.6571634738,1.0015534778,1.0012508999,1.0017988604
80,2459782.6579167228,0.9997369596,0.9997242612,0.9998312692
81,2459782.6586697218,1.0025406908,1.0022955537,1.0027316857
82,2459782.6594229331,1.0010764624,1.0007752632,1.0013166524
83,2459782.6601752411,0.9992251592,0.9988548158,0.9995058795
84,2459782.6609284044,0.9950496657,0.9948268770,0.9952760180
85,2459782.6616811780,1.0003736919,1.0000967926,1.0006192029
86,2459782.6624343651,1.0012791775,1.0010114784,1.0015036918
87,2459782.6631872556,1.0023595990,1.0019871173,1.0026364298
88,2459782.6639406304,0.9993845582,0.9992346886,0.9995305385
89,2459782.6646927330,0.9973207519,0.9973609892,0.9973918132
90,2459782.6654457957,0.9964814722,0.9963881517,0.9966001710
91,2459782.6661983095,0.9989487623,0.9989578377,0.9990405940
92,2459782.6669506375,0.9991395914,0.9991966816,0.9991965553
93,2459782.6677036607,1.0009811583,1.0007581077,1.0012172044
94,2459782.6684568319,1.0032704423,1.0032428490,1.0033439334
95,2459782.6692095487,1.0020149687,1.0018913679,1.0021922935
96,2459782.6699625305,1.0030022625,1.0028076862,1.0032287970
97,2459782.6707157129,0.9992381758,0.9992185879,0.9993409382
98,2459782.6714689122,1.0018401254,1.0018343918,1.0019339468
99,2459782.6722215102,0.9997344721,0.9998074058,0.9997649456
100,2459782.6729745255,0.9979050276,0.9980933153,0.9978883207
101,2459782.6737270430,0.9983232156,0.9985224775,0.9982713648
102,2459782.6744800471,0.9996669404,0.9998969979,0.9996232909
103,2459782.6752329213,1.0010909929,1.0011020457,1.0011627273
104,2459782.6759856115,0.9956372338,0.9955557627,0.9957593518
105,2459782.6767384834,0.9969722229,0.9970999522,0.9970269995
106,2459782.6774914246,0.9994591000,0.9995627278,0.9994642207
107,2459782.6782447444,0.9978705212,0.9980273400,0.9978561008
108,2459782.6789978519,1.0007024855,1.0007878924,1.0006977375
109,2459782.6797503065,1.0024002587,1.0025382704,1.0024095524
110,2459782.6805032138,1.0052785026,1.0052384770,1.0053783918
111,2459782.6812559585,0.9966333581,0.9965891198,0.9967436655
112,2459782.6820092103,1.0005239580,1.0009034664,1.0003707658
113,2459782.6827624757,0.9987357242,0.9988651096,0.9987391947
114,2459782.6835151580,1.0000485446,1.0002778687,0.9999730722
115,2459782.6842677188,0.9994035648,0.9993988813,0.9994938340
116,2459782.6850199620,1.0017365617,1.0016098505,1.0019011650
117,2459782.6857723058,0.9980460425,0.9978608651,0.9982138263
118,2459782.6865251865,0.9992525377,0.9991896917,0.9993661451
119,2459782.6872787620,0.9995833467,0.9995119174,0.9996821257
120,2459782.6880318290,1.0010982519,1.0009491788,1.0012550477
121,2459782.6887850352,1.0017826558,1.0015997336,1.0019561774
122,2459782.6895380071,1.0008388849,1.0006862942,1.0009833176
123,2459782.6902910583,1.0006697100,1.0007639106,1.0006940319
124,2459782.6910441252,0.9993622205,0.9993072837,0.9994517615
125,2459782.6917973706,0.9992812888,0.9991877122,0.9994051746
126,2459782.6925499006,0.9989447390,0.9987358134,0.9991115270
127,2459782.6933032637,1.0028207413,1.0027332999,1.0029527392
128,2459782.6940560760,1.0000000000,1.0000000000,1.0000644219
129,2459782.6948093004,1.0158132134,1.0165086073,1.0149968663
130,2459782.6955639157,1.0242244277,1.0252919960,1.0222695313
