image,slice,bjd_tdb,hours_since_first_image,relative_brightness_all_comparisons,relative_brightness_working_set,relative_brightness_error,sky_counts_per_pixel,star_width_pixels,airmass,working_comparison_counts,target_x_fits,target_y_fits,review_point,review_reason
TOI_3505.01_50.000s_R-0112_aligned.fits,112,2459782.6820092103,2.0105855875,1.0030942968,1.0026730303,0.0023862118,461.3029354975,19.9383104074,1.0801462473,4761595.5394634353,1849.2423424234,1743.2632275657,False,
TOI_3505.01_50.000s_R-0113_aligned.fits,113,2459782.6827624757,2.0286639556,0.9992092979,0.9976117404,0.0023130484,451.8386695393,19.3132988462,1.0793885138,4885080.4326448329,1848.0443655933,1743.5066834081,False,
TOI_3505.01_50.000s_R-0114_aligned.fits,114,2459782.6835151580,2.0467283316,0.9992893092,0.9988689487,0.0022990285,448.2823624733,20.0234017402,1.0786514027,4904852.9786725398,1847.6703375224,1742.2159062424,False,
TOI_3505.01_50.000s_R-0115_aligned.fits,115,2459782.6842677188,2.0647897907,1.0007581829,0.9993573611,0.0023045894,445.9012085380,20.2663925368,1.0779343707,4883711.7271570079,1850.2438647280,1743.7814367472,False,
TOI_3505.01_50.000s_R-0116_aligned.fits,116,2459782.6850199620,2.0828436278,1.0020721909,0.9998813318,0.0019593325,397.5374282546,20.7629098144,1.0772375253,5652006.2524500322,1862.2326849282,1743.7613456657,False,
TOI_3505.01_50.000s_R-0117_aligned.fits,117,2459782.6857723058,2.1008998789,0.9994037997,0.9987720672,0.0018456028,378.0841769166,20.2453544503,1.0765604117,5957170.2872289913,1849.8487814193,1743.8695979454,False,
TOI_3505.01_50.000s_R-0118_aligned.fits,118,2459782.6865251865,2.1189690158,0.9988629264,0.9977873321,0.0017715831,366.1462637886,20.1378593646,1.0759026041,6186338.7574235843,1846.9134749420,1745.0205540131,False,
TOI_3505.01_50.000s_R-0119_aligned.fits,119,2459782.6872787620,2.1370548271,0.9994332772,0.9991542523,0.0017786939,365.7988843590,19.8639834508,1.0752639565,6155300.0665442562,1846.0645511089,1743.8336677592,False,
TOI_3505.01_50.000s_R-0120_aligned.fits,120,2459782.6880318290,2.1551284343,1.0012861493,0.9998945325,0.0017923643,368.1111303278,19.7399864825,1.0746454422,6112849.8392999610,1850.4998711809,1743.2373239099,False,
TOI_3505.01_50.000s_R-0121_aligned.fits,121,2459782.6887850352,2.1732053831,1.0006669367,0.9988666681,0.0018086817,371.5076458894,19.7390187218,1.0740464617,6065871.3658302277,1846.6584392847,1744.3098827717,False,
