frame,utc_midpoint,jd_utc,bjd_tdb,shift_x,shift_y,centroid_rms,background,target_x,target_y,header_shift_x,header_shift_y,registration_shift_x,registration_shift_y,flux_T1,flux_C2,flux_C3,flux_C4,flux_C5,flux_C6,flux_C7,flux_C8,flux_C9,flux_C10,flux_C11,flux_C12,flux_C13,flux_C14,flux_C15
TOI 3718.01-0190R_65.fit,2023-10-13T07:30:36.560,2460230.8129231483,2460230.817087385,-183.3805837048617,-418.2949561185542,0.7755206385968607,469.4532775878906,1052.064753940556,1477.8783866985052,-561.8047518323034,54.227180828686386,-184.0,-416.0,455535.3352810668,428705.9830698143,552144.6076035165,464603.457393599,361601.56187266327,840905.544576511,792885.8982106936,483358.07821300736,408923.6617735813,381504.4858475008,683216.131068425,757339.2234342411,550210.5053617882,484327.6487131119,779138.9049644943
TOI 3718.01-0191R_65.fit,2023-10-13T07:31:54.340,2460230.8138233796,2460230.817987682,-183.66226020087163,-419.25521510536237,0.7893252835926934,468.1435241699219,1051.8211592542566,1476.9943463325885,-593.0339972778689,51.56456070277343,-184.0,-420.0,460513.55992555403,433464.2037211263,556957.5831940447,470358.96470553626,364611.78738028836,851099.5864723205,802222.2054028874,490635.0036187592,412962.23949144,387563.88728603936,692676.579566757,769489.114195773,556343.7204512917,489703.0592618219,786670.2382653956
TOI 3718.01-0192R_65.fit,2023-10-13T07:33:12.120,2460230.8147236113,2460230.818887979,-184.28195651173314,-421.1003954940585,0.7840694333502914,465.8641052246094,1051.159248919006,1475.096012799542,-593.0339972778689,51.56456070277343,-184.0,-420.0,463311.91884102084,435446.28182754543,561237.6358921466,474471.05114000465,363732.53516902216,855658.1615647181,804423.2527698826,493505.12782247923,415609.6180595903,388763.43351577705,697180.4953787802,771811.4473155992,558058.9682502723,492408.44568621647,792605.4245166725
TOI 3718.01-0193R_65.fit,2023-10-13T07:34:29.840,2460230.8156231483,2460230.8197875815,-184.21928048574387,-420.60332127189076,0.791047151323659,465.6437530517578,1051.213683078044,1475.612865700187,-593.042690958637,48.80363251095623,-184.0,-420.0,459997.74944136874,432004.24154528836,554200.8503380069,469260.7284975562,360704.61012483237,848720.8249483858,800831.9487101735,489811.04280288675,409593.4306181549,386413.80146526557,689277.6936289548,767107.803996326,553928.9774549807,487891.6353876038,782789.334316489
TOI 3718.01-0194R_65.fit,2023-10-13T07:35:47.520,2460230.8165222225,2460230.820686721,-185.9027059919465,-423.2887516339781,0.788313350206093,465.18479919433594,1049.5508354669737,1472.9780283120003,-593.042690958637,48.80363251095623,-184.0,-424.0,464542.95951738366,439635.4058108723,563985.7301427883,474437.4565421145,364544.6402508787,861230.1334076477,807449.4890159339,495201.13465569954,417366.72029424616,390096.57134861435,696469.4831666574,775905.8405080652,561433.3531011136,495068.6256344378,795802.2216366036
TOI 3718.01-0195R_65.fit,2023-10-13T07:37:05.280,2460230.8174222223,2460230.821586786,-183.82055643385888,-423.94560584922465,0.8711819640447533,463.8721618652344,1051.6968135503691,1472.2259483412454,-593.0513846394047,46.04270431920964,-184.0,-424.0,465920.17327202694,437675.806054812,562162.1815438821,476808.7289079224,366452.4932826795,859028.7142769466,808703.5988546389,495514.89749797527,419112.48878524255,391163.74126744765,700320.3824329581,774962.5481471376,561574.0271295663,494906.3704220392,792459.7378666434
TOI 3718.01-0196R_65.fit,2023-10-13T07:38:23.000,2460230.8183217593,2460230.8224863885,-187.45931818581835,-422.93575721991044,0.8224716851394999,465.9309997558594,1047.9535207580661,1473.3535796611734,-593.0513846394047,46.04270431920964,-188.0,-424.0,459887.200842122,432733.51032544766,555853.9899887317,469743.8272738506,361867.108643421,845150.023642142,802119.643831356,488375.9981378864,412627.9661984149,385165.7162772532,693202.0325918286,764622.3459717373,558086.7231509606,491696.29516196763,781996.2080228772
TOI 3718.01-0197R_65.fit,2023-10-13T07:39:40.790,2460230.8192221066,2460230.823386801,-189.41536415447854,-423.82315856191497,0.8591887698475207,468.8382263183594,1046.1062179944097,1472.404290547032,-624.2806300850767,43.38008419329702,-188.0,-424.0,462121.2482625138,433681.2261753551,555287.4410695698,472259.0534018304,363741.2713423605,848411.6441562616,804994.6967411926,491576.9329381932,414205.2222961331,386041.0932792751,693434.2119670847,768648.9241958052,557005.6757667422,492402.74944663746,783296.9880260952
TOI 3718.01-0198R_65.fit,2023-10-13T07:40:58.570,2460230.820122338,2460230.8242870974,-195.2920030826415,-425.4102047366921,0.795415592981184,468.26087951660156,1040.1266946219237,1470.8120239963177,-624.2806300850767,43.38008419329702,-196.0,-424.0,462087.7319209051,435019.33226417756,558937.8183608889,472984.93560251355,364958.90157781757,850637.262831057,807289.4624412694,495577.59386442084,416219.3654656024,386271.01669310126,695870.7243478154,770704.7292108447,559753.2830667265,496817.2557618497,787242.2930851867
TOI 3718.01-0199R_65.fit,2023-10-13T07:42:16.260,2460230.821021528,2460230.825186353,-194.81769383323967,-425.99657824440055,0.8116815374827286,471.9112243652344,1040.6534048771955,1470.250574475656,-624.2893237658448,40.619156001479816,-192.0,-424.0,458330.64382517274,431249.5764663719,558317.7888629506,470714.8126490986,362516.9618419505,845319.0981996038,805349.9057823054,491058.69556152786,413828.0559861095,384387.68789428513,694300.1020600012,767249.0322327602,557075.0016010895,494106.92285710026,783196.3081630636
