relative_path,file_name,bytes,sha256,target,sector,pipeline,data_release,cadence_seconds,camera,ccd,time_start_btjd,time_stop_btjd,extensions
light_curves/mastDownload/HLSP/hlsp_qlp_tess_ffi_s0041-0000000390988385_tess_v01_llc/hlsp_qlp_tess_ffi_s0041-0000000390988385_tess_v01_llc.fits,hlsp_qlp_tess_ffi_s0041-0000000390988385_tess_v01_llc.fits,216000,720d0c741acddaa75c7441d6cbda2218e7d91be0137a48eb1c28c35cde04b075,TIC 390988385,41,MIT/QLP,,600.0,1,3,2419.994230892773,2446.577165816328,"PRIMARY,LIGHTCURVE"
light_curves/mastDownload/HLSP/hlsp_qlp_tess_ffi_s0054-0000000390988385_tess_v01_llc/hlsp_qlp_tess_ffi_s0054-0000000390988385_tess_v01_llc.fits,hlsp_qlp_tess_ffi_s0054-0000000390988385_tess_v01_llc.fits,213120,d0ee039c61422ca922cdda0a48520003c129e6eabe9083cea32421d6702ecd5a,TIC 390988385,54,MIT/QLP,,600.0,2,4,2769.90363455172,2796.125982300924,"PRIMARY,LIGHTCURVE"
light_curves/mastDownload/HLSP/hlsp_qlp_tess_ffi_s0081-0000000390988385_tess_v01_llc/hlsp_qlp_tess_ffi_s0081-0000000390988385_tess_v01_llc.fits,hlsp_qlp_tess_ffi_s0081-0000000390988385_tess_v01_llc.fits,673920,f612a1c762fd9f1bba06912fc3c34c87cf64309b0070ccbb32b24ea996ee90a0,TIC 390988385,81,MIT/QLP,,199.99999999999991,2,3,3506.552511753313,3533.179741365138,"PRIMARY,LIGHTCURVE"
light_curves/mastDownload/HLSP/hlsp_tess-spoc_tess_phot_0000000390988385-s0054_tess_v1_tp/hlsp_tess-spoc_tess_phot_0000000390988385-s0054_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000390988385-s0054_tess_v1_lc.fits,408960,cd9f156b4bbe69bfdad97e7e93627b768efc2105f0e1274bd69e4803eff4c46f,TIC 390988385,54,NASA/Ames,78,600.0,2,4,2769.907084779125,2796.129432155169,"PRIMARY,LIGHTCURVE,APERTURE"
light_curves/mastDownload/HLSP/hlsp_tess-spoc_tess_phot_0000000390988385-s0081_tess_v1_tp/hlsp_tess-spoc_tess_phot_0000000390988385-s0081_tess_v1_lc.fits,hlsp_tess-spoc_tess_phot_0000000390988385-s0081_tess_v1_lc.fits,1180800,5d1384dcea923c4e10a5f3295d9f846ae2282331b39cdb0ee9f4c53c2448d619,TIC 390988385,81,NASA/Ames,114,199.99999999999872,2,3,3506.558276580922,3533.180876183306,"PRIMARY,LIGHTCURVE,APERTURE"
light_curves/mastDownload/TESS/tess2022190063128-s0054-0000000390988385-0227-s/tess2022190063128-s0054-0000000390988385-0227-s_lc.fits,tess2022190063128-s0054-0000000390988385-0227-s_lc.fits,1918080,bbb22f14eb82b38d8b5ef1cd4f9c124a85c0372e145d666c2492bf231fba74ef,TIC 390988385,54,NASA/Ames,97,120.0,2,4,2769.902918018454,2796.133598791043,"PRIMARY,LIGHTCURVE,APERTURE"
light_curves/mastDownload/TESS/tess2024196212429-s0081-0000000390988385-0276-s/tess2024196212429-s0081-0000000390988385-0276-s_lc.fits,tess2024196212429-s0081-0000000390988385-0276-s_lc.fits,1946880,58aeeb04506ae063bf241478e07614e539eec15b2ebc04106494a54debd41094,TIC 390988385,81,NASA/Ames,114,120.00000000000097,2,3,3506.556424695981,3533.181339138597,"PRIMARY,LIGHTCURVE,APERTURE"
release_notes/tess_multisector_14_86_drn122_targetinfo_v01.txt,tess_multisector_14_86_drn122_targetinfo_v01.txt,3866044,54638365fa0b6f7d15287e6d5fe81f30a881bae4dfabfb6ff56c8599fe89ea10,390988385,,TESS archive documentation,,,,,,,txt
release_notes/tess_multisector_14_86_drn122_v01.pdf,tess_multisector_14_86_drn122_v01.pdf,1141951,9afc5509ea63ca7f6ac360f3fb74db880c0f00975a25e30000e42a897caebe1f,390988385,,TESS archive documentation,,,,,,,pdf
target_pixels/mastDownload/TESS/tess2022190063128-s0054-0000000390988385-0227-s/tess2022190063128-s0054-0000000390988385-0227-s_tp.fits,tess2022190063128-s0054-0000000390988385-0227-s_tp.fits,46281600,4877838f58d5548edfecf4359e50866d82ebce0d50cad639461ec6488c85c7c9,TIC 390988385,54,NASA/Ames,97,120.0,2,4,2769.902918018454,2796.133598791043,"PRIMARY,PIXELS,APERTURE,TARGET COSMIC RAY"
target_pixels/mastDownload/TESS/tess2024196212429-s0081-0000000390988385-0276-s/tess2024196212429-s0081-0000000390988385-0276-s_tp.fits,tess2024196212429-s0081-0000000390988385-0276-s_tp.fits,46975680,4b086ff43bb01e54170c00642c81e0374d7b4a5ec10ae864c3f01b595ea3275b,TIC 390988385,81,NASA/Ames,114,120.00000000000097,2,3,3506.556424695981,3533.181339138597,"PRIMARY,PIXELS,APERTURE,TARGET COSMIC RAY"
tesscut/tess-s0014-1-3_297.043467_18.698906_15x15_astrocut.fits,tess-s0014-1-3_297.043467_18.698906_15x15_astrocut.fits,5708160,e124f236780a1d07a7e556506efcfccaa20264890d5facfd54e04ac975b4569e,,14,STScI/MAST,30,1800.0000536441803,1,3,1683.358888310225,1710.191906172149,"PRIMARY,PIXELS,APERTURE"
tesscut/tesscut/tess-s0014-1-3_297.043467_18.698906_15x15_astrocut.fits,tess-s0014-1-3_297.043467_18.698906_15x15_astrocut.fits,5708160,eee944006bec353772c2013614dd6816633c0cd51efa3fc1ba5a51b19d994ca2,,14,STScI/MAST,30,1800.0000536441803,1,3,1683.358888310225,1710.191906172149,"PRIMARY,PIXELS,APERTURE"
tesscut/tesscut/tess-s0041-1-3_297.043467_18.698906_15x15_astrocut.fits,tess-s0041-1-3_297.043467_18.698906_15x15_astrocut.fits,16790400,6bf122e3f6517126b0a391b2119e2ce1e282d0bc0cb453da5464c9ea87e7e62f,,41,STScI/MAST,59,600.0,1,3,2419.990504192249,2446.580467993836,"PRIMARY,PIXELS,APERTURE"
tesscut/tesscut/tess-s0054-2-4_297.043467_18.698906_15x15_astrocut.fits,tess-s0054-2-4_297.043467_18.698906_15x15_astrocut.fits,16502400,e3100591929d7581fe8e07c3c89bd5ad354258b2d8599aec3e252053191a789a,,54,STScI/MAST,78,600.0,2,4,2769.900256905477,2796.129681984778,"PRIMARY,PIXELS,APERTURE"
tesscut/tesscut/tess-s0081-2-3_297.043467_18.698906_15x15_astrocut.fits,tess-s0081-2-3_297.043467_18.698906_15x15_astrocut.fits,50616000,97478c500304a096c7309cd44f7cecc548c367255e60b40c188bbdbc59780921,,81,STScI/MAST,114,199.99999999999872,2,3,3506.55154756391,3533.180834658427,"PRIMARY,PIXELS,APERTURE"
