image,slice,bjd_tdb,hours_since_first_image,astroimagej_35px_relative_brightness,photutils_20px_relative_brightness,photutils_25px_relative_brightness,photutils_30px_relative_brightness,photutils_35px_relative_brightness,photutils_40px_relative_brightness,photutils_45px_relative_brightness,photutils_50px_relative_brightness
TOI_3505.01_50.000s_R-0084_aligned.fits,84,2459782.6609284044,1.5046462454,0.9957393088,0.9951535478,0.9952055499,0.9967038195,0.9958066994,0.9958395250,0.9962175057,0.9964166102
TOI_3505.01_50.000s_R-0085_aligned.fits,85,2459782.6616811780,1.5227128118,1.0003933774,0.9997183259,1.0003259528,1.0008306681,1.0000952941,0.9980981880,0.9992382326,0.9989230113
TOI_3505.01_50.000s_R-0086_aligned.fits,86,2459782.6624343651,1.5407893024,1.0029417986,1.0009501398,1.0007871579,1.0013405675,1.0019762697,1.0006938231,1.0005208857,1.0010112225
TOI_3505.01_50.000s_R-0087_aligned.fits,87,2459782.6631872556,1.5588586740,1.0020945813,1.0013615583,1.0021785449,1.0024479059,1.0014206856,0.9996230005,0.9979311903,0.9973309475
TOI_3505.01_50.000s_R-0088_aligned.fits,88,2459782.6639406304,1.5769396685,0.9990204040,0.9999634905,0.9992314298,0.9985869245,0.9984486781,0.9982809161,0.9981249740,0.9977314414
TOI_3505.01_50.000s_R-0089_aligned.fits,89,2459782.6646927330,1.5949901305,0.9978066315,0.9960186917,0.9970898860,0.9978080564,0.9972040180,0.9972121090,0.9967488719,0.9990336925
TOI_3505.01_50.000s_R-0090_aligned.fits,90,2459782.6654457957,1.6130636372,0.9973291204,0.9963966411,0.9965497839,0.9971009718,0.9972092518,0.9966291597,0.9963582533,0.9955208241
TOI_3505.01_50.000s_R-0091_aligned.fits,91,2459782.6661983095,1.6311239675,0.9999501888,0.9979497746,0.9991013847,0.9987818686,0.9997592819,1.0002414491,1.0012961143,1.0005751924
TOI_3505.01_50.000s_R-0092_aligned.fits,92,2459782.6669506375,1.6491798386,0.9988196868,1.0001800492,0.9993164413,0.9986566483,0.9986530179,0.9971096787,0.9961962356,0.9961386144
TOI_3505.01_50.000s_R-0093_aligned.fits,93,2459782.6677036607,1.6672523953,0.9977727671,0.9994710043,1.0012051918,0.9997780642,0.9982823996,0.9964679339,0.9968412452,0.9986827717
TOI_3505.01_50.000s_R-0094_aligned.fits,94,2459782.6684568319,1.6853285059,1.0035678383,1.0037501643,1.0033078572,1.0034985276,1.0033282777,1.0020132349,1.0029875283,1.0023236034
TOI_3505.01_50.000s_R-0095_aligned.fits,95,2459782.6692095487,1.7033937089,1.0021276813,1.0007858605,1.0019612393,1.0018902071,1.0019501517,1.0033051598,1.0025476308,1.0049600326
TOI_3505.01_50.000s_R-0096_aligned.fits,96,2459782.6699625305,1.7214652710,1.0041743868,1.0035588633,1.0033362157,1.0031895724,1.0041636273,1.0034022040,1.0032600595,1.0037305823
TOI_3505.01_50.000s_R-0097_aligned.fits,97,2459782.6707157129,1.7395416498,1.0001317945,0.9988614389,0.9991255647,0.9999386120,0.9999224931,0.9993210116,0.9976209438,0.9976737453
TOI_3505.01_50.000s_R-0098_aligned.fits,98,2459782.6714689122,1.7576184310,1.0021780159,1.0016201088,1.0019458897,1.0021695307,1.0019986425,1.0010967970,0.9993890565,0.9996857198
TOI_3505.01_50.000s_R-0099_aligned.fits,99,2459782.6722215102,1.7756807841,0.9997449929,1.0014848527,1.0001365604,0.9989984198,1.0000752887,0.9983438630,0.9979604978,0.9982623879
TOI_3505.01_50.000s_R-0100_aligned.fits,100,2459782.6729745255,1.7937531509,0.9986682581,0.9970111037,0.9978535783,0.9982074618,0.9980523997,0.9984239411,0.9994097379,1.0000000000
TOI_3505.01_50.000s_R-0101_aligned.fits,101,2459782.6737270430,1.8118135706,0.9972382295,0.9983204590,0.9985737021,0.9981565213,0.9976057341,0.9966355663,0.9957576924,0.9967941000
TOI_3505.01_50.000s_R-0102_aligned.fits,102,2459782.6744800471,1.8298856691,1.0007254641,0.9998424968,0.9998265939,1.0010109779,1.0006874664,0.9997540397,0.9995549729,0.9985846971
TOI_3505.01_50.000s_R-0103_aligned.fits,103,2459782.6752329213,1.8479546495,1.0009253460,1.0021400354,1.0016454084,1.0020846398,1.0015691934,1.0005716075,1.0007618933,1.0002887179
TOI_3505.01_50.000s_R-0104_aligned.fits,104,2459782.6759856115,1.8660192154,0.9958601841,0.9959937789,0.9954721830,0.9951108395,0.9952248423,0.9950572136,0.9996436853,1.0011219645
TOI_3505.01_50.000s_R-0105_aligned.fits,105,2459782.6767384834,1.8840881400,0.9977871191,0.9983132525,0.9970681714,0.9968658894,0.9975167455,0.9978148143,0.9979739583,0.9986520577
TOI_3505.01_50.000s_R-0106_aligned.fits,106,2459782.6774914246,1.9021587297,0.9991935100,0.9998661587,0.9993411625,0.9981451696,0.9987336698,0.9988020246,0.9993041931,1.0003176901
TOI_3505.01_50.000s_R-0107_aligned.fits,107,2459782.6782447444,1.9202384055,0.9981213596,0.9987394751,0.9982099574,0.9975918359,0.9983473308,0.9991661505,0.9985286769,0.9985498490
TOI_3505.01_50.000s_R-0108_aligned.fits,108,2459782.6789978519,1.9383129850,1.0009045033,1.0011983471,1.0009627369,1.0014805181,1.0012446116,1.0001345764,1.0006404228,1.0017597727
TOI_3505.01_50.000s_R-0109_aligned.fits,109,2459782.6797503065,1.9563718960,1.0038044207,1.0008959117,1.0024160572,1.0033902133,1.0030696781,1.0042548537,1.0040806220,1.0066469644
TOI_3505.01_50.000s_R-0110_aligned.fits,110,2459782.6805032138,1.9744416699,1.0051235901,1.0037972062,1.0050676070,1.0043909216,1.0046120895,1.0031629129,1.0047295747,1.0033398914
TOI_3505.01_50.000s_R-0111_aligned.fits,111,2459782.6812559585,1.9925075434,0.9984986177,0.9963569072,0.9966232373,0.9979788279,0.9987621499,1.0010481039,1.0018252835,1.0016375001
TOI_3505.01_50.000s_R-0112_aligned.fits,112,2459782.6820092103,2.0105855875,1.0030942968,1.0003456144,1.0004112359,1.0006940934,1.0022443481,1.0011543750,1.0017334429,1.0029284060
TOI_3505.01_50.000s_R-0113_aligned.fits,113,2459782.6827624757,2.0286639556,0.9992092979,0.9998168861,0.9991604764,1.0004693445,0.9997545316,0.9988758597,0.9988279254,1.0001021953
TOI_3505.01_50.000s_R-0114_aligned.fits,114,2459782.6835151580,2.0467283316,0.9992893092,1.0008830759,1.0006132286,0.9994875532,0.9998880685,0.9985109122,0.9979248755,0.9972686764
TOI_3505.01_50.000s_R-0115_aligned.fits,115,2459782.6842677188,2.0647897907,1.0007581829,0.9998750414,0.9995159910,0.9991061147,1.0005992625,1.0000000000,1.0000848081,1.0014661066
TOI_3505.01_50.000s_R-0116_aligned.fits,116,2459782.6850199620,2.0828436278,1.0020721909,0.9992487285,1.0012657321,1.0016977988,1.0011418458,1.0004441381,0.9999751873,1.0010154839
TOI_3505.01_50.000s_R-0117_aligned.fits,117,2459782.6857723058,2.1008998789,0.9994037997,0.9981977111,0.9984522873,0.9995798769,0.9997855824,0.9994522836,0.9997858718,1.0004622009
TOI_3505.01_50.000s_R-0118_aligned.fits,118,2459782.6865251865,2.1189690158,0.9988629264,0.9986614905,0.9995291152,1.0004848437,0.9991523102,0.9990772420,0.9989718212,0.9995889017
TOI_3505.01_50.000s_R-0119_aligned.fits,119,2459782.6872787620,2.1370548271,0.9994332772,0.9995069490,0.9998155256,1.0000141694,0.9995911014,0.9993905704,1.0012524390,1.0035964591
TOI_3505.01_50.000s_R-0120_aligned.fits,120,2459782.6880318290,2.1551284343,1.0012861493,1.0006881998,1.0015115127,1.0016144894,1.0015951015,1.0010336266,1.0007945944,1.0020011706
TOI_3505.01_50.000s_R-0121_aligned.fits,121,2459782.6887850352,2.1732053831,1.0006669367,1.0020959739,1.0017473024,1.0021321946,1.0004061205,0.9998081726,0.9995736064,0.9999826873
TOI_3505.01_50.000s_R-0122_aligned.fits,122,2459782.6895380071,2.1912767105,1.0023764659,0.9999412071,1.0007710180,1.0016865190,1.0019065411,1.0022768131,1.0036458815,1.0041464654
TOI_3505.01_50.000s_R-0123_aligned.fits,123,2459782.6902910583,2.2093499377,1.0017129734,1.0001078529,1.0005332697,1.0003349878,1.0008521447,1.0005189616,0.9985954434,1.0007463815
TOI_3505.01_50.000s_R-0124_aligned.fits,124,2459782.6910441252,2.2274235450,0.9979272323,0.9996843320,0.9994601374,0.9985607573,0.9977603660,0.9971940444,0.9990273009,0.9989607357
TOI_3505.01_50.000s_R-0125_aligned.fits,125,2459782.6917973706,2.2455014326,0.9974205690,0.9987365784,0.9992912434,0.9980055518,0.9970075248,0.9975064002,0.9967682896,0.9977500024
TOI_3505.01_50.000s_R-0126_aligned.fits,126,2459782.6925499006,2.2635621540,0.9976081825,0.9988608191,0.9987578300,0.9971672268,0.9969615019,0.9971775947,0.9973639095,0.9970631308
TOI_3505.01_50.000s_R-0127_aligned.fits,127,2459782.6933032637,2.2816428691,1.0051579267,1.0025873176,1.0030940519,1.0046077908,1.0053674881,1.0058064121,1.0078578829,1.0084464257
TOI_3505.01_50.000s_R-0128_aligned.fits,128,2459782.6940560760,2.2997103631,1.0005981354,1.0011914005,1.0000273884,1.0010098831,1.0004311754,0.9983473134,0.9992481837,0.9998191833
TOI_3505.01_50.000s_R-0129_aligned.fits,129,2459782.6948093004,2.3177877478,1.0260067890,1.0128437832,1.0144951243,1.0191705398,1.0231855155,1.0192990616,1.0191606949,1.0214752605
