ID,ra,dec,Tmag,e_Tmag,GAIA,GAIAmag,gaiabp,gaiarp,pmRA,pmDEC,plx,Teff,rad,mass,d,numcont,contratio,disposition,duplicate_id,dstArcSec
1845610172,297.063118480429,18.7155117645882,20.6652,0.6,1824562894028475264,21.0952,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,89.7565352149311
390988211,297.056258006609,18.7207097827294,13.174,0.0159,1824562894068142336,14.2063,15.2994,13.1724,-2.61121,-7.99903,0.138886,4081.0,27.3229,nan,5627.47,,nan,,,89.7566421686624
1845609523,297.069409572224,18.6944409999845,17.6263,0.0493,1824562584830465024,18.2758,18.7801,17.5249,-4.08268,-5.2948,0.0951792,5738.0,1.20983,1.03,4175.58,,nan,,,89.88821113858447
1845606976,297.01897664933,18.7081533795582,18.5584,0.0109,1824561416558461952,19.2982,19.7242,18.2136,-4.30309,-6.19335,0.0627131,nan,nan,nan,3539.72,,nan,,,89.91815553803012
1845606246,297.057386788493,18.677685010919,19.0755,0.0154,1824561103041843712,19.6801,19.9905,18.8003,-1.62661,-4.76074,-0.146523,nan,nan,nan,3749.54,,nan,,,89.95049281466612
1845606258,297.062213001952,18.6813081271789,17.8375,0.0405,1824561107320568704,18.6097,19.2168,17.6947,-2.24899,-5.31948,0.399687,4838.0,0.868842,0.79,2516.01,,nan,,,89.99933923190716
1845606577,297.021686448973,18.684792708595,20.6812,0.6,1824561244760587520,21.1112,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,90.03109985482543
1845607031,297.027198564454,18.7186225476946,18.0335,0.0425,1824561446638805504,18.7694,19.3693,17.937,-3.03516,-6.35558,-0.516013,5303.0,1.52255,0.91,5377.8,,nan,,,90.08072596283188
1845609524,297.069820787049,18.696883352259,16.3862,0.0198,1824562584830466304,17.0361,17.5082,16.2501,-1.20154,-7.30547,0.354556,5500.0,1.38459,0.96,2641.24,,nan,,390988404,90.13265242666277
1845606848,297.018608986733,18.6904131009243,20.688,0.6,1824561347839814144,21.118,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,90.15142273620658
1845609479,297.069897581488,18.6980125205629,19.2953,0.0085,1824562584789327872,20.0509,20.3669,18.8165,-2.65621,-4.49092,-0.109836,nan,nan,nan,3332.83,,nan,,,90.15570433804854
1845610220,297.029465676764,18.7201793893022,18.5085,0.0594,1824562928386939776,19.0796,19.3338,18.2181,-2.1766,-4.76761,-0.281006,nan,nan,nan,4339.0,,nan,,,90.23793183407594
1845609709,297.068537441199,18.7069783288032,19.694,0.0238,1824562687869485184,20.1843,20.358,19.4153,-1.05286,-8.34978,0.498512,nan,nan,nan,2722.77,,nan,,,90.25365928647338
1845606337,297.033197279691,18.6758109590037,19.2528,0.0272,1824561141679480704,19.8725,20.1029,18.8785,-1.77039,-5.0611,1.2784,nan,nan,nan,1136.28,,nan,,,90.25570330448335
1845606548,297.021200904273,18.685372924528,18.6906,0.0507,1824561244758733440,19.4346,19.9925,18.539,-4.17338,-3.70501,-0.0841452,5124.0,0.81558,0.86,3777.25,,nan,,,90.25726720785703
1845609497,297.069451499125,18.6937132929418,20.4049,0.0698,1824562584790259840,20.7693,20.0096,19.3193,-3.11748,-8.60136,-1.82601,nan,nan,nan,3272.75,,nan,,,90.53433246301861
1845610206,297.041598751866,18.7240033086719,19.293,0.6,1824562928386896640,19.723,nan,nan,-1.52593,-4.75527,-0.0279011,nan,nan,nan,3346.89,,nan,,,90.54803660970893
1845606305,297.05580749663,18.6766294125614,19.1789,0.0261,1824561107361718400,19.9421,20.4332,18.8636,-5.86982,-12.6781,0.53901,nan,nan,nan,2705.55,,nan,,,90.5782533425325
390988404,297.070119090097,18.6973407588904,15.9414,0.0067,1824562584789327616,16.5585,16.9749,15.7564,-4.31681,0.633318,0.43507,nan,nan,nan,2177.93,,nan,SPLIT,,90.60846798163293
390988450,297.01801648396,18.6915753218554,16.483,0.0313,1824561347879644672,17.3368,18.1259,16.4225,-0.76232,-4.80951,0.257724,4576.0,2.52515,nan,3368.24,,nan,,,90.7490626750481
1845606328,297.036594252172,18.6745441596813,19.5826,0.6,1824561141679472640,20.0126,nan,nan,-4.25237,-6.90827,0.256359,nan,nan,nan,2963.69,,nan,,,90.81610103520339
1845606997,297.016831972856,18.6986356712016,20.3508,0.6,1824561416559614080,20.7808,nan,nan,0.43892,-7.08105,2.83462,nan,nan,nan,2520.9,,nan,,,90.86116927227023
1845609478,297.070119090097,18.6973407588904,15.9414,0.0067,1824562584789327616,16.5585,16.9749,15.7564,-4.31681,0.633318,0.43507,nan,nan,nan,2177.93,,nan,DUPLICATE,390988404,91.02915888959177
1845610246,297.042139676323,18.7241824570215,18.8366,0.0162,1824562928427903488,19.4601,19.2409,18.0079,-1.60219,-5.57909,-0.381733,nan,nan,nan,3345.78,,nan,,,91.08049086079345
1845606355,297.035104968828,18.6748435026516,20.7907,0.6,1824561141681683200,21.2207,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,91.23494116718385
1845609484,297.070249394752,18.7001272822473,19.5958,0.0241,1824562584789906560,20.2098,20.236,19.0246,-3.33373,-5.8092,1.53587,nan,nan,nan,1355.67,,nan,,,91.40080645032295
1845606212,297.047902009416,18.6738431473025,20.6883,0.6,1824561072961819776,21.1183,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,,,91.5084578717461
1845606259,297.059866522763,18.678777248549,20.1114,0.6,1824561107320569472,20.5414,nan,nan,-2.64359,-1.26943,0.461952,nan,nan,nan,2844.11,,nan,,,91.53877462224959
1845606222,297.043250061967,18.6734510965622,19.7847,0.0168,1824561072961832960,20.8752,21.6963,19.1485,-4.46821,-1.49823,-1.97779,nan,nan,nan,3209.28,,nan,,,91.66969054323154
1845610115,297.060558148591,18.7186224787176,17.929,0.044,1824562889748277376,18.5831,19.0551,17.791,-2.22881,-6.94953,-0.312312,5821.0,1.4187,1.05,5627.32,,nan,,,91.79660575388077
1845606539,297.02352555886,18.681774124371,18.6974,0.0143,1824561240480311552,19.4522,19.9746,18.4262,-4.62115,-4.58138,0.0687653,nan,nan,nan,3457.83,,nan,,,91.84746606450051
1845606166,297.043968859176,18.6734026084263,19.4571,0.025,1824561068681918208,20.0165,20.1629,19.0728,-3.53344,-3.71004,-0.105667,nan,nan,nan,3441.39,,nan,,,91.85638807695756
1845610205,297.042251915658,18.7244044538219,19.4174,0.6,1824562928386894336,19.8474,nan,nan,-0.828959,-4.70843,-0.00188446,nan,nan,nan,3124.97,,nan,,,91.86050315494347
1845606363,297.036810054481,18.6741901026448,18.7621,0.0153,1824561141721193216,19.3839,19.1239,17.8946,-1.91337,-10.4284,-6.09343,nan,nan,nan,4984.55,,nan,,,91.86313261009407
1845609449,297.068621287976,18.6897277955576,18.4151,0.0147,1824562580510741888,19.1317,19.443,17.9897,-1.46685,-5.20153,0.106391,nan,nan,nan,3450.4,,nan,,,91.90339512344922
1845606279,297.060833182728,18.679367233805,19.7047,0.0298,1824561107321526272,20.2357,20.2684,19.2397,-4.27852,-5.4894,-0.293293,nan,nan,nan,3199.17,,nan,,,91.9526255201111
1845606285,297.057335878498,18.6769915548424,20.519,0.0197,1824561107321534720,20.8375,20.5468,19.9438,0.276306,-4.63069,-0.0164309,nan,nan,nan,2945.31,,nan,,,91.9916776356016
