measured_star,separation_from_measured_position_arcsec,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,parallax,parallax_error,pmra,pmdec,phot_variable_flag,non_single_star
C2,9.7927755692,1824533791366840960,296.9475946130,18.5584361170,16.0028648376,16.7678947449,15.1236753464,1.6442193985,0.9870139956,0.1393477457,0.0389697328,-2.0504356951,-5.2723296619,NOT_AVAILABLE,0
C2,9.9406360385,1824533722600570368,296.9523932905,18.5554812791,20.1419887543,20.6976737976,19.1588497162,1.5388240814,0.9638432264,-0.4892656689,0.5637488365,-2.2071203989,-6.0360075726,NOT_AVAILABLE,0
C2,10.9531147364,1824533718335500032,296.9509286886,18.5538100274,19.2641620636,19.9985694885,18.3381271362,1.6604423523,0.9780581594,0.1941258835,0.2677485645,-3.0993272202,-6.8008523730,NOT_AVAILABLE,0
C2,11.6228610794,1824533722598683648,296.9531467589,18.5568628714,18.1821174622,19.1108798981,17.2298374176,1.8810424805,0.9954661131,0.1315820171,0.1277968138,-2.3997045829,-3.7928791303,NOT_AVAILABLE,0
C2,11.6751934050,1824533722600569472,296.9527414574,18.5550676350,20.8184947968,,,,,,,,,NOT_AVAILABLE,0
C3,0.6726959808,1824564715134346880,297.0609663749,18.8166873088,11.1483526230,12.0027952194,10.2496614456,1.7531337738,0.9882543683,0.5023329334,0.0161203239,-1.2720008835,-4.2987037739,NOT_AVAILABLE,0
C3,2.5354607427,1824564715094810880,297.0613187920,18.8173893407,19.8145294189,17.6079921722,15.5028591156,2.1051330566,,,,,,NOT_AVAILABLE,0
C3,5.6894634149,1824564715134345088,297.0628181204,18.8169106029,17.8601951599,18.3602352142,17.0159854889,1.3442497253,1.0285764933,0.2859381339,0.1080135182,-1.1130640791,-6.6550239658,NOT_AVAILABLE,0
C3,6.3266925277,1824564715134345344,297.0610622397,18.8149457895,19.6249465942,19.8582477570,18.1727581024,1.6854896545,1.0326985121,0.8244473280,0.3831592500,-2.1918222140,-8.3347220575,NOT_AVAILABLE,0
C3,6.3509030715,1824564715094135424,297.0594888013,18.8159260166,19.1416320801,19.2353649139,17.5016460419,1.7337188721,1.1122018099,0.6551058634,0.3368359208,-1.7110294892,-4.3393335189,NOT_AVAILABLE,0
C3,6.7752592548,1824564715093444736,297.0606305652,18.8185138070,19.7247219086,20.1913833618,18.6414680481,1.5499153137,0.9627048969,0.4467351411,0.4165004492,-0.2342619785,-4.2564110029,NOT_AVAILABLE,0
C3,7.5295642233,1824564715134471552,297.0631639672,18.8175884455,20.6929283142,,,,1.0963549614,1.4096900133,1.7859916687,-2.4557472873,-0.9925769020,NOT_AVAILABLE,0
C3,7.7547128141,1824564715134347008,297.0619613766,18.8187178777,19.3036136627,19.8263187408,18.2790107727,1.5473079681,1.0026417971,-0.1197634825,0.3146622181,-2.0388904881,-3.8805113022,NOT_AVAILABLE,0
C3,7.8251836151,1824564715093428992,297.0626418731,18.8150374682,17.0240001678,17.7237033844,16.1421470642,1.5815563202,1.1452947855,0.2954246183,0.0790407583,-3.2264292856,-5.3032349698,NOT_AVAILABLE,0
C3,8.1332964294,1824564715094124416,297.0635420852,18.8165156593,20.9665546417,,,,,,,,,NOT_AVAILABLE,0
C3,8.4026833177,1824564715134473216,297.0587315832,18.8163134283,,,19.1691532135,,,,,,,NOT_AVAILABLE,0
C3,8.4218186200,1824564715094124672,297.0635981728,18.8171016972,19.9470901489,,,,1.0012897253,1.3663426344,0.4791430831,-2.1853890800,-4.1024025769,NOT_AVAILABLE,0
C3,8.4550367243,1824564715093452416,297.0588123951,18.8174518099,20.6937046051,,,,1.1696902514,2.7570054966,2.3051915169,-4.0213646495,-7.4603306040,NOT_AVAILABLE,0
C3,8.8331662292,1824564715093448448,297.0600275548,18.8189062186,18.7903804779,19.2370853424,17.9150638580,1.3220214844,1.0092501640,0.0031226164,0.1992206275,-2.2412766522,-4.4720883820,NOT_AVAILABLE,0
C3,9.9193014582,1824564715093452544,297.0583456761,18.8173927228,19.5563087463,19.2765254974,17.7392330170,1.5372924805,1.0820307732,1.2687972466,0.4046827853,-1.0502707140,-4.6702672697,VARIABLE,0
C3,10.0688628376,1824564710787897088,297.0582089041,18.8167491564,17.0326366425,17.7194633484,16.2180423737,1.5014209747,0.9660425782,0.1318655498,0.0699234158,-2.5704927625,-5.2169626742,NOT_AVAILABLE,0
C3,10.1880571555,1824564715093428480,297.0641041804,18.8172104208,18.8550434113,19.3637275696,18.0566692352,1.3070583344,1.0349968672,0.5335323382,0.2000959516,-3.0415281511,-5.7911977859,NOT_AVAILABLE,0
C3,10.5236366310,1824564715093429760,297.0616536913,18.8138144592,19.9616413116,21.2344188690,18.6826496124,2.5517692566,1.2050243616,0.7159032892,0.6226360798,2.0751786882,3.3052333137,NOT_AVAILABLE,0
C3,11.8318389174,1824564715093425792,297.0628183810,18.8138113985,19.1449317932,19.6403045654,18.1879711151,1.4523334503,1.0139720440,0.2761816896,0.2529329956,-2.0334925333,-5.1214334514,NOT_AVAILABLE,0
C4,0.7719627036,1821553805619459456,297.1680946549,18.5403099018,11.3359651566,12.5526599884,10.2570009232,2.2956590652,1.0752198696,0.2402700172,0.0247675218,-6.8562405569,-6.4440378825,NOT_AVAILABLE,0
